             x       y       Lnx         yLnx    (Ln x)²        SQREG        SQTOT
0    1958.2027  315.70  7.579782  2392.937285  57.453100  2820.573426  1802.013343
1    1958.2877  317.45  7.579826  2406.215684  57.453758  2805.717141  1656.500396
2    1958.3699  317.51  7.579868  2406.683801  57.454395  2791.388162  1651.619981
3    1958.4548  317.24  7.579911  2404.650989  57.455052  2776.627663  1673.638550
4    1958.5370  315.86  7.579953  2394.203969  57.455688  2762.374469  1788.454902
5    1958.6219  314.93  7.579996  2387.168264  57.456345  2747.692233  1867.979440
6    1958.7068  313.20  7.580040  2374.068446  57.457002  2733.049754  2020.513981
7    1958.7890  312.43  7.580082  2368.244927  57.457639  2718.910812  2090.330078
8    1958.8740  313.33  7.580125  2375.080597  57.458296  2704.329436  2008.843848
9    1958.9562  314.67  7.580167  2385.251169  57.458933  2690.266275  1890.521506
10   1959.0411  315.58  7.580210  2392.162797  57.459590  2675.780290  1812.215774
11   1959.1260  316.48  7.580254  2398.998702  57.460247  2661.334037  1736.399544
12   1959.2027  316.65  7.580293  2400.299742  57.460840  2648.317219  1722.260600
13   1959.2877  317.72  7.580336  2408.424439  57.461498  2633.929673  1634.595227
14   1959.3699  318.29  7.580378  2412.758584  57.462134  2620.053934  1588.829781
15   1959.4548  318.15  7.580422  2411.711116  57.462791  2605.761502  1600.010217
16   1959.5370  316.54  7.580463  2399.519916  57.463427  2591.961433  1731.402728
17   1959.6219  314.80  7.580507  2386.343549  57.464084  2577.747145  1879.233573
18   1959.7068  313.84  7.580550  2379.079859  57.464741  2563.572554  1963.387418
19   1959.7890  313.33  7.580592  2375.226921  57.465376  2549.886563  2008.843848
20   1959.8740  314.81  7.580635  2386.459851  57.466034  2535.773506  1878.366670
21   1959.9562  315.58  7.580677  2392.310175  57.466670  2522.163181  1812.215774
22   1960.0410  316.43  7.580721  2398.767442  57.467326  2508.161334  1740.569056
23   1960.1257  316.98  7.580764  2402.950536  57.467981  2494.215506  1694.979416
24   1960.2049  317.58  7.580804  2407.511826  57.468594  2481.210968  1645.935263
25   1960.2896  319.03  7.580847  2418.517777  57.469249  2467.341530  1530.384392
26   1960.3716  320.04  7.580889  2426.187820  57.469883  2453.951813  1452.381834
27   1960.4563  319.59  7.580933  2422.790228  57.470538  2440.160050  1486.883449
28   1960.5383  318.18  7.580974  2412.114421  57.471172  2426.845522  1597.611109
29   1960.6230  315.90  7.581018  2394.843447  57.471827  2413.131414  1785.073292
30   1960.7077  314.17  7.581061  2381.741858  57.472482  2399.456756  1934.251634
31   1960.7896  313.83  7.581103  2379.177406  57.473116  2386.271661  1964.273721
32   1960.8743  315.00  7.581146  2388.060903  57.473770  2372.674582  1861.933522
33   1960.9563  316.19  7.581188  2397.095689  57.474405  2359.548508  1760.652318
34   1961.0411  316.89  7.581231  2402.416223  57.475060  2346.013096  1702.398139
35   1961.1260  317.70  7.581274  2408.570774  57.475717  2332.501309  1636.212832
36   1961.2027  318.54  7.581313  2414.951502  57.476310  2320.328600  1568.962218
37   1961.2877  319.48  7.581357  2422.091783  57.476967  2306.876392  1495.378777
38   1961.3699  320.58  7.581398  2430.444711  57.477602  2293.905064  1411.514496
39   1961.4548  319.77  7.581442  2424.317619  57.478259  2280.546632  1473.034203
40   1961.5370  318.57  7.581484  2415.233240  57.478894  2267.650743  1566.586510
41   1961.6219  316.79  7.581527  2401.751910  57.479550  2254.370218  1710.660165
42   1961.7068  314.99  7.581570  2388.118794  57.480207  2241.129268  1862.796624
43   1961.7890  315.31  7.581612  2390.558108  57.480842  2228.347111  1835.276543
44   1961.8740  316.10  7.581655  2396.561278  57.481499  2215.168557  1768.213241
45   1961.9562  317.01  7.581697  2403.473866  57.482134  2202.461836  1692.510108
46   1962.0411  317.94  7.581741  2410.538603  57.482790  2189.376667  1616.854371
47   1962.1260  318.55  7.581784  2415.177248  57.483446  2176.331048  1568.170115
48   1962.2027  319.68  7.581823  2423.757160  57.484039  2164.579431  1479.950726
49   1962.2877  320.57  7.581866  2430.518869  57.484696  2151.593824  1412.265999
50   1962.3699  321.02  7.581908  2433.944156  57.485331  2139.073670  1378.646384
51   1962.4548  320.62  7.581951  2430.925263  57.485987  2126.181173  1408.510486
52   1962.5370  319.61  7.581993  2423.280880  57.486622  2113.736343  1485.341444
53   1962.6219  317.40  7.582037  2406.538405  57.487278  2100.921634  1660.572909
54   1962.7068  316.25  7.582080  2397.832743  57.487934  2088.146440  1755.620702
