Matriz A|B: 
15.0 2.0 3.0 1.0 0.7 0.5 3.0 1.0 |3.0
1.0 11.0 -3.0 4.0 0.8 0.6 0.9 2.0 |2.0
-6.0 4.0 -17.0 2.0 1.0 3.0 2.0 4.0 |5.0
3.0 -8.0 3.0 30.0 8.0 5.0 7.0 6.0 |-7.0
1.0 4.0 2.0 3.0 55.0 17.0 12.0 5.0 |10.0
1.5 2.0 0.7 0.8 3.0 17.0 1.0 0.9 |2.0
0.5 1.0 1.8 6.0 2.0 5.0 27.0 1.0 |-7.0
8.0 3.0 2.0 2.0 0.3 1.0 5.0 35.0 |9.0


Método de Gauss-Seidel


Sistema não obedece aos critérios de convergência suficientes 
logo a convergência não é uma certeza 

iteração: 0

iteração: 1
x(k-1).1 = 0.0  x(k).1 = 0.2
x(k-1).2 = 0.0  x(k).2 = 0.16363636363636364
x(k-1).3 = 0.0  x(k).3 = -0.32620320855614976
x(k-1).4 = 0.0  x(k).4 = -0.17707664884135474
x(k-1).5 = 0.0  x(k).5 = 0.187801652892562
x(k-1).6 = 0.0  x(k).6 = 0.06937211053599854
x(k-1).7 = 0.0  x(k).7 = -0.2346842427278623
x(k-1).8 = 0.0  x(k).8 = 0.25609597803204176
dr = 1.0  precisão: 1e-10


iteração: 2
x(k-1).1 = 0.2  x(k).1 = 0.27401487233972194
x(k-1).2 = 0.16363636363636364  x(k).2 = 0.08753103373750831
x(k-1).3 = -0.32620320855614976  x(k).3 = -0.3351285285645887
x(k-1).4 = -0.17707664884135474  x(k).4 = -0.26198235687810123
x(k-1).5 = 0.187801652892562  x(k).5 = 0.20342673207156162
x(k-1).6 = 0.06937211053599854  x(k).6 = 0.07364759681161373
x(k-1).7 = -0.2346842427278623  x(k).7 = -0.22520742235021243
x(k-1).8 = 0.25609597803204176  x(k).8 = 0.24945346246494457
dr = 0.2533526715866649  precisão: 1e-10


iteração: 3
x(k-1).1 = 0.27401487233972194  x(k).1 = 0.2892834779217762
x(k-1).2 = 0.08753103373750831  x(k).2 = 0.11364637957617701
x(k-1).3 = -0.3351285285645887  x(k).3 = -0.34313597266567036
x(k-1).4 = -0.26198235687810123  x(k).4 = -0.2615064046042548
x(k-1).5 = 0.20342673207156162  x(k).5 = 0.19872972314541842
x(k-1).6 = 0.07364759681161373  x(k).6 = 0.07015838030646246
x(k-1).7 = -0.22520742235021243  x(k).7 = -0.22478925001486752
x(k-1).8 = 0.24945346246494457  x(k).8 = 0.2442356212931817
dr = 0.07610786370134913  precisão: 1e-10


iteração: 4
x(k-1).1 = 0.2892834779217762  x(k).1 = 0.2879709130563539
x(k-1).2 = 0.11364637957617701  x(k).2 = 0.11285518755367813
x(k-1).3 = -0.34313597266567036  x(k).3 = -0.34487345224259547
x(k-1).4 = -0.2615064046042548  x(k).4 = -0.25863231821208427
x(k-1).5 = 0.19872972314541842  x(k).5 = 0.20017913862460032
x(k-1).6 = 0.07015838030646246  x(k).6 = 0.07029942949557648
x(k-1).7 = -0.22478925001486752  x(k).7 = -0.2251987246960349
x(k-1).8 = 0.2442356212931817  x(k).8 = 0.24458054646270605
dr = 0.008333742053733925  precisão: 1e-10


iteração: 5
x(k-1).1 = 0.2879709130563539  x(k).1 = 0.2882188543781936
x(k-1).2 = 0.11285518755367813  x(k).2 = 0.11117135022239549
x(k-1).3 = -0.34487345224259547  x(k).3 = -0.34487589401374497
x(k-1).4 = -0.25863231821208427  x(k).4 = -0.259489351389762
x(k-1).5 = 0.20017913862460032  x(k).5 = 0.20035831362805617
x(k-1).6 = 0.07029942949557648  x(k).6 = 0.07049028922969297
x(k-1).7 = -0.2251987246960349  x(k).7 = -0.2250117288783505
x(k-1).8 = 0.24458054646270605  x(k).8 = 0.24468361331965488
dr = 0.004882444266213413  precisão: 1e-10


iteração: 6
x(k-1).1 = 0.2882188543781936  x(k).1 = 0.2884419961431411
x(k-1).2 = 0.11117135022239549  x(k).2 = 0.11140456657141971
x(k-1).3 = -0.34487589401374497  x(k).3 = -0.3449101315596258
x(k-1).4 = -0.259489351389762  x(k).4 = -0.2595898864707193
x(k-1).5 = 0.20035831362805617  x(k).5 = 0.20023486223890435
x(k-1).6 = 0.07049028922969297  x(k).6 = 0.07045463318145355
x(k-1).7 = -0.2250117288783505  x(k).7 = -0.22498794491541035
x(k-1).8 = 0.24468361331965488  x(k).8 = 0.24461899999786368
dr = 0.0006761655506309872  precisão: 1e-10


iteração: 7
x(k-1).1 = 0.2884419961431411  x(k).1 = 0.288430950839811
x(k-1).2 = 0.11140456657141971  x(k).2 = 0.11145351646293955
x(k-1).3 = -0.3449101315596258  x(k).3 = -0.3449325023638028
x(k-1).4 = -0.2595898864707193  x(k).4 = -0.2595272554374107
x(k-1).5 = 0.20023486223890435  x(k).5 = 0.20024060598653023
x(k-1).6 = 0.07045463318145355  x(k).6 = 0.07044883081039631
x(k-1).7 = -0.22498794491541035  x(k).7 = -0.22499893781579414
x(k-1).8 = 0.24461899999786368  x(k).8 = 0.24461671531336385
dr = 0.00018157475123221616  precisão: 1e-10


iteração: 8
x(k-1).1 = 0.288430950839811  x(k).1 = 0.28842699920941256
x(k-1).2 = 0.11145351646293955  x(k).2 = 0.11142621323462243
x(k-1).3 = -0.3449325023638028  x(k).3 = -0.34493268053842474
x(k-1).4 = -0.2595272554374107  x(k).4 = -0.2595316659749944
x(k-1).5 = 0.20024060598653023  x(k).5 = 0.20024731018727096
x(k-1).6 = 0.07044883081039631  x(k).6 = 0.07045219102032252
x(k-1).7 = -0.22499893781579414  x(k).7 = -0.2249978956596191
x(k-1).8 = 0.24461671531336385  x(k).8 = 0.24461991868197894
dr = 7.91552376959538e-05  precisão: 1e-10


iteração: 9
x(k-1).1 = 0.28842699920941256  x(k).1 = 0.28843012245177674
x(k-1).2 = 0.11142621323462243  x(k).2 = 0.11142614598187416
x(k-1).3 = -0.34493268053842474  x(k).3 = -0.34493245388683746
x(k-1).4 = -0.2595316659749944  x(k).4 = -0.25953525056380483
x(k-1).5 = 0.20024731018727096  x(k).5 = 0.2002458883681067
x(k-1).6 = 0.07045219102032252  x(k).6 = 0.0704521027218785
x(k-1).7 = -0.2249978956596191  x(k).7 = -0.22499716651319301
x(k-1).8 = 0.24461991868197894  x(k).8 = 0.2446193129907172
dr = 1.0392147129251478e-05  precisão: 1e-10


iteração: 10
x(k-1).1 = 0.28843012245177674  x(k).1 = 0.2884302889060545
x(k-1).2 = 0.11142614598187416  x(k).2 = 0.11142765484013446
x(k-1).3 = -0.34493245388683746  x(k).3 = -0.344932735278422
x(k-1).4 = -0.25953525056380483  x(k).4 = -0.2595344918356007
x(k-1).5 = 0.2002458883681067  x(k).5 = 0.20024566772236088
x(k-1).6 = 0.0704521027218785  x(k).6 = 0.07045191451638178
x(k-1).7 = -0.22499716651319301  x(k).7 = -0.22499730169613874
x(k-1).8 = 0.2446193129907172  x(k).8 = 0.24461914491733738
dr = 4.3743550727054544e-06  precisão: 1e-10


iteração: 11
x(k-1).1 = 0.2884302889060545  x(k).1 = 0.2884301482331889
x(k-1).2 = 0.11142765484013446  x(k).2 = 0.1114273829161891
x(k-1).3 = -0.344932735278422  x(k).3 = -0.34493276199158823
x(k-1).4 = -0.2595344918356007  x(k).4 = -0.2595343922462379
x(k-1).5 = 0.20024566772236088  x(k).5 = 0.20024578854204422
x(k-1).6 = 0.07045191451638178  x(k).6 = 0.07045195086196135
x(k-1).7 = -0.22499730169613874  x(k).7 = -0.22499731882524923
x(k-1).8 = 0.24461914491733738  x(k).8 = 0.24461919658752132
dr = 7.883389904477332e-07  precisão: 1e-10


iteração: 12
x(k-1).1 = 0.2884301482331889  x(k).1 = 0.2884301763244293
x(k-1).2 = 0.1114273829161891  x(k).2 = 0.11142731810023884
x(k-1).3 = -0.34493276199158823  x(k).3 = -0.344932751777093
x(k-1).4 = -0.2595343922462379  x(k).4 = -0.2595344579744881
x(k-1).5 = 0.20024578854204422  x(k).5 = 0.2002457837648056
x(k-1).6 = 0.07045195086196135  x(k).6 = 0.07045195779638218
x(k-1).7 = -0.22499731882524923  x(k).7 = -0.22499730586354816
x(k-1).8 = 0.24461919658752132  x(k).8 = 0.24461919688568368
dr = 1.9055381037982278e-07  precisão: 1e-10


iteração: 13
x(k-1).1 = 0.2884301763244293  x(k).1 = 0.288430184685113
x(k-1).2 = 0.11142731810023884  x(k).2 = 0.11142734288161024
x(k-1).3 = -0.344932751777093  x(k).3 = -0.34493275409197777
x(k-1).4 = -0.2595344579744881  x(k).4 = -0.25953445493653815
x(k-1).5 = 0.2002457837648056  x(k).5 = 0.20024577673050323
x(k-1).6 = 0.07045195779638218  x(k).6 = 0.07045195455868519
x(k-1).7 = -0.22499730586354816  x(k).7 = -0.22499730634738865
x(k-1).8 = 0.24461919688568368  x(k).8 = 0.24461919303115437
dr = 7.184406556176718e-08  precisão: 1e-10


iteração: 14
x(k-1).1 = 0.288430184685113  x(k).1 = 0.2884301824313045
x(k-1).2 = 0.11142734288161024  x(k).2 = 0.11142734277905837
x(k-1).3 = -0.34493275409197777  x(k).3 = -0.3449327549122513
x(k-1).4 = -0.25953445493653815  x(k).4 = -0.259534451357245
x(k-1).5 = 0.20024577673050323  x(k).5 = 0.2002457780702535
x(k-1).6 = 0.07045195455868519  x(k).6 = 0.07045195463105222
x(k-1).7 = -0.22499730634738865  x(k).7 = -0.22499730701244858
x(k-1).8 = 0.24461919303115437  x(k).8 = 0.24461919347889988
dr = 1.037678529708071e-08  precisão: 1e-10


iteração: 15
x(k-1).1 = 0.2884301824313045  x(k).1 = 0.28843018240864166
x(k-1).2 = 0.11142734277905837  x(k).2 = 0.11142734112746858
x(k-1).3 = -0.3449327549122513  x(k).3 = -0.3449327547530796
x(k-1).4 = -0.259534451357245  x(k).4 = -0.2595344521150162
x(k-1).5 = 0.2002457780702535  x(k).5 = 0.20024577830835794
x(k-1).6 = 0.07045195463105222  x(k).6 = 0.07045195482986083
x(k-1).7 = -0.22499730701244858  x(k).7 = -0.22499730686411368
x(k-1).8 = 0.24461919347889988  x(k).8 = 0.24461919363093867
dr = 4.788150074828138e-09  precisão: 1e-10


iteração: 16
x(k-1).1 = 0.28843018240864166  x(k).1 = 0.2884301825899959
x(k-1).2 = 0.11142734112746858  x(k).2 = 0.11142734136200474
x(k-1).3 = -0.3449327547530796  x(k).3 = -0.3449327547487365
x(k-1).4 = -0.2595344521150162  x(k).4 = -0.25953445223269145
x(k-1).5 = 0.20024577830835794  x(k).5 = 0.20024577818662853
x(k-1).6 = 0.07045195482986083  x(k).6 = 0.07045195479633228
x(k-1).7 = -0.22499730686411368  x(k).7 = -0.22499730684070315
x(k-1).8 = 0.24461919363093867  x(k).8 = 0.24461919357451625
dr = 6.799475116103276e-10  precisão: 1e-10


iteração: 17
x(k-1).1 = 0.2884301825899959  x(k).1 = 0.28843018257157854
x(k-1).2 = 0.11142734136200474  x(k).2 = 0.11142734142667962
x(k-1).3 = -0.3449327547487365  x(k).3 = -0.3449327547644619
x(k-1).4 = -0.25953445223269145  x(k).4 = -0.25953445216815924
x(k-1).5 = 0.20024577818662853  x(k).5 = 0.2002457781896966
x(k-1).6 = 0.07045195479633228  x(k).6 = 0.07045195478902778
x(k-1).7 = -0.22499730684070315  x(k).7 = -0.22499730685283448
x(k-1).8 = 0.24461919357451625  x(k).8 = 0.24461919357230885
dr = 1.8749995664959688e-10  precisão: 1e-10


iteração: 18
x(k-1).1 = 0.28843018257157854  x(k).1 = 0.28843018256447195
x(k-1).2 = 0.11142734142667962  x(k).2 = 0.11142734140113988
x(k-1).3 = -0.3449327547644619  x(k).3 = -0.34493275476342616
x(k-1).4 = -0.25953445216815924  x(k).4 = -0.2595344521706914
x(k-1).5 = 0.2002457781896966  x(k).5 = 0.20024577819688893
x(k-1).6 = 0.07045195478902778  x(k).6 = 0.07045195479229727
x(k-1).7 = -0.22499730685283448  x(k).7 = -0.22499730685231978
x(k-1).8 = 0.24461919357230885  x(k).8 = 0.24461919357597925
dr = 7.40426550950412e-11  precisão: 1e-10


Resíduo=B-B~

Resíduo.1=3.8620662223820545e-11
Resíduo.2=-2.283950806258872e-12
Resíduo.3=-2.7647217848425498e-11
Resíduo.4=-9.951239832162173e-11
Resíduo.5=-8.01083643864331e-11
Resíduo.6=-3.818279026290838e-12
Resíduo.7=-3.6708414086206176e-12
Resíduo.8=0.0
Solução do sistema: 
x.1 = 0.28843018256447195
x.2 = 0.11142734140113988
x.3 = -0.34493275476342616
x.4 = -0.2595344521706914
x.5 = 0.20024577819688893
x.6 = 0.07045195479229727
x.7 = -0.22499730685231978
x.8 = 0.24461919357597925
