             x       y      Ln y          xLny            x²         SQREG         SQTOT
0    1958.2027  315.70  5.754792  11269.050007  3.834558e+06  2.151393e-02  1.500286e-02
1    1958.2877  317.45  5.760320  11280.364442  3.834891e+06  2.140184e-02  1.367923e-02
2    1958.3699  317.51  5.760509  11281.208049  3.835213e+06  2.129373e-02  1.363506e-02
3    1958.4548  317.24  5.759659  11280.031003  3.835545e+06  2.118235e-02  1.383446e-02
4    1958.5370  315.86  5.755299  11271.966189  3.835867e+06  2.107480e-02  1.487900e-02
5    1958.6219  314.93  5.752350  11266.679454  3.836200e+06  2.096400e-02  1.560705e-02
6    1958.7068  313.20  5.746842  11256.378434  3.836532e+06  2.085349e-02  1.701371e-02
7    1958.7890  312.43  5.744380  11252.029226  3.836854e+06  2.074677e-02  1.766191e-02
8    1958.8740  313.33  5.747257  11258.152207  3.837187e+06  2.063671e-02  1.690562e-02
9    1958.9562  314.67  5.751524  11266.984521  3.837509e+06  2.053055e-02  1.581409e-02
10   1959.0411  315.58  5.754412  11273.130037  3.837842e+06  2.042119e-02  1.509614e-02
11   1959.1260  316.48  5.757260  11279.197850  3.838175e+06  2.031212e-02  1.440445e-02
12   1959.2027  316.65  5.757797  11280.691552  3.838475e+06  2.021384e-02  1.427583e-02
13   1959.2877  317.72  5.761170  11287.790482  3.838808e+06  2.010520e-02  1.348109e-02
14   1959.3699  318.29  5.762963  11291.776074  3.839130e+06  2.000042e-02  1.306807e-02
15   1959.4548  318.15  5.762523  11291.403293  3.839463e+06  1.989248e-02  1.316885e-02
16   1959.5370  316.54  5.757450  11281.935548  3.839785e+06  1.978826e-02  1.435898e-02
17   1959.6219  314.80  5.751938  11271.622725  3.840118e+06  1.968089e-02  1.571038e-02
18   1959.7068  313.84  5.748883  11266.125699  3.840451e+06  1.957382e-02  1.648535e-02
19   1959.7890  313.33  5.747257  11263.410947  3.840773e+06  1.947044e-02  1.690562e-02
20   1959.8740  314.81  5.751969  11273.135045  3.841106e+06  1.936382e-02  1.570242e-02
21   1959.9562  315.58  5.754412  11278.395899  3.841428e+06  1.926099e-02  1.509614e-02
22   1960.0410  316.43  5.757102  11284.156055  3.841761e+06  1.915519e-02  1.444240e-02
23   1960.1257  316.98  5.758839  11288.047700  3.842093e+06  1.904981e-02  1.402801e-02
24   1960.2049  317.58  5.760730  11292.210694  3.842403e+06  1.895154e-02  1.358363e-02
25   1960.2896  319.03  5.765285  11301.628505  3.842735e+06  1.884672e-02  1.254253e-02
26   1960.3716  320.04  5.768446  11308.297691  3.843057e+06  1.874553e-02  1.184453e-02
27   1960.4563  319.59  5.767039  11306.027791  3.843389e+06  1.864128e-02  1.215278e-02
28   1960.5383  318.18  5.762617  11297.831847  3.843710e+06  1.854064e-02  1.314722e-02
29   1960.6230  315.90  5.755426  11284.220018  3.844043e+06  1.843696e-02  1.484812e-02
30   1960.7077  314.17  5.749934  11273.940340  3.844375e+06  1.833358e-02  1.621658e-02
31   1960.7896  313.83  5.748851  11272.288112  3.844696e+06  1.823389e-02  1.649353e-02
32   1960.8743  315.00  5.752573  11280.071846  3.845028e+06  1.813108e-02  1.555157e-02
33   1960.9563  316.19  5.756343  11287.937657  3.845350e+06  1.803183e-02  1.462534e-02
34   1961.0411  316.89  5.758555  11292.762464  3.845682e+06  1.792947e-02  1.409536e-02
35   1961.1260  317.70  5.761108  11298.257788  3.846015e+06  1.782728e-02  1.349571e-02
36   1961.2027  318.54  5.763748  11303.878249  3.846316e+06  1.773521e-02  1.288918e-02
37   1961.2877  319.48  5.766695  11310.147334  3.846649e+06  1.763346e-02  1.222880e-02
38   1961.3699  320.58  5.770132  11317.362940  3.846972e+06  1.753534e-02  1.148042e-02
39   1961.4548  319.77  5.767602  11312.890603  3.847305e+06  1.743428e-02  1.202895e-02
40   1961.5370  318.57  5.763842  11305.989798  3.847627e+06  1.733672e-02  1.286780e-02
41   1961.6219  316.79  5.758239  11295.487912  3.847960e+06  1.723624e-02  1.417040e-02
42   1961.7068  314.99  5.752541  11284.798586  3.848294e+06  1.713605e-02  1.555949e-02
43   1961.7890  315.31  5.753556  11287.263425  3.848616e+06  1.703932e-02  1.530721e-02
44   1961.8740  316.10  5.756059  11292.661748  3.848950e+06  1.693959e-02  1.469428e-02
45   1961.9562  317.01  5.758933  11298.774931  3.849272e+06  1.684342e-02  1.400560e-02
46   1962.0411  317.94  5.761863  11305.011402  3.849605e+06  1.674438e-02  1.332083e-02
47   1962.1260  318.55  5.763779  11309.261514  3.849938e+06  1.664563e-02  1.288205e-02
48   1962.2027  319.68  5.767320  11316.651848  3.850239e+06  1.655667e-02  1.209078e-02
49   1962.2877  320.57  5.770101  11322.597555  3.850573e+06  1.645837e-02  1.148711e-02
50   1962.3699  321.02  5.771503  11325.824602  3.850896e+06  1.636357e-02  1.118838e-02
51   1962.4548  320.62  5.770257  11323.867804  3.851229e+06  1.626596e-02  1.145370e-02
52   1962.5370  319.61  5.767102  11318.150081  3.851551e+06  1.617172e-02  1.213899e-02
53   1962.6219  317.40  5.760163  11305.021675  3.851885e+06  1.607468e-02  1.371610e-02
54   1962.7068  316.25  5.756533  11298.386542  3.852218e+06  1.597793e-02  1.457948e-02
55   1962.7890  315.42  5.753905  11293.701606  3.852541e+06  1.588454e-02  1.522102e-02
56   1962.8740  316.69  5.757923  11302.078092  3.852874e+06  1.578825e-02  1.424566e-02
57   1962.9562  317.70  5.761108  11308.801767  3.853197e+06  1.569541e-02  1.349571e-02
58   1963.0411  318.74  5.764376  11315.706461  3.853530e+06  1.559981e-02  1.274705e-02
59   1963.1260  319.07  5.765411  11318.227282  3.853864e+06  1.550450e-02  1.251446e-02
60   1963.2027  319.86  5.767883  11323.524264  3.854165e+06  1.541865e-02  1.196730e-02
61   1963.2877  321.38  5.772624  11333.322135  3.854499e+06  1.532379e-02  1.095253e-02
62   1963.3699  322.25  5.775328  11339.104455  3.854821e+06  1.523232e-02  1.039399e-02
63   1963.4548  321.48  5.772935  11334.897590  3.855155e+06  1.513815e-02  1.088751e-02
64   1963.5370  319.74  5.767508  11324.715681  3.855478e+06  1.504724e-02  1.204954e-02
