             x       y        SQREG        SQTOT
0    1958.2027  315.70  1893.483725  1802.013343
1    1958.2877  317.45  1887.848621  1656.500396
2    1958.3699  317.51  1882.391384  1651.619981
3    1958.4548  317.24  1876.746958  1673.638550
4    1958.5370  315.86  1871.274421  1788.454902
5    1958.6219  314.93  1865.614335  1867.979440
6    1958.7068  313.20  1859.946404  2020.513981
7    1958.7890  312.43  1854.451322  2090.330078
8    1958.8740  313.33  1848.761471  2008.843848
9    1958.9562  314.67  1843.251784  1890.521506
10   1959.0411  315.58  1837.553693  1812.215774
11   1959.1260  316.48  1831.848130  1736.399544
12   1959.2027  316.65  1826.687273  1722.260600
13   1959.2877  317.72  1820.960955  1634.595227
14   1959.3699  318.29  1815.416355  1588.829781
15   1959.4548  318.15  1809.682571  1600.010217
16   1959.5370  316.54  1804.124367  1731.402728
17   1959.6219  314.80  1798.376683  1879.233573
18   1959.7068  313.84  1792.622050  1963.387418
19   1959.7890  313.33  1787.043879  2008.843848
20   1959.8740  314.81  1781.269000  1878.366670
21   1959.9562  315.58  1775.677947  1812.215774
22   1960.0410  316.43  1769.903525  1740.569056
23   1960.1257  316.98  1764.129376  1694.979416
24   1960.2049  317.58  1758.724331  1645.935263
25   1960.2896  319.03  1752.937764  1530.384392
26   1960.3716  320.04  1747.329651  1452.381834
27   1960.4563  319.59  1741.530755  1486.883449
28   1960.5383  318.18  1735.910854  1597.611109
29   1960.6230  315.90  1730.099934  1785.073292
30   1960.7077  314.17  1724.283022  1934.251634
31   1960.7896  313.83  1718.652783  1964.273721
32   1960.8743  315.00  1712.824319  1861.933522
33   1960.9563  316.19  1707.176167  1760.652318
34   1961.0411  316.89  1701.329555  1702.398139
35   1961.1260  317.70  1695.470430  1636.212832
36   1961.2027  318.54  1690.172436  1568.962218
37   1961.2877  319.48  1684.295914  1495.378777
38   1961.3699  320.58  1678.607836  1411.514496
39   1961.4548  319.77  1672.727701  1473.034203
40   1961.5370  318.57  1667.029587  1566.586510
41   1961.6219  316.79  1661.139245  1710.660165
42   1961.7068  314.99  1655.243840  1862.796624
43   1961.7890  315.31  1649.531175  1835.276543
44   1961.8740  316.10  1643.619087  1768.213241
45   1961.9562  317.01  1637.897157  1692.510108
46   1962.0411  317.94  1631.982620  1616.854371
47   1962.1260  318.55  1626.063430  1568.170115
48   1962.2027  319.68  1620.712010  1479.950726
49   1962.2877  320.57  1614.777210  1412.265999
50   1962.3699  321.02  1609.033705  1378.646384
51   1962.4548  320.62  1603.097286  1408.510486
52   1962.5370  319.61  1597.345615  1485.341444
53   1962.6219  317.40  1591.400927  1660.572909
54   1962.7068  316.25  1585.452162  1755.620702
55   1962.7890  315.42  1579.688778  1825.863814
56   1962.8740  316.69  1573.725222  1718.942190
57   1962.9562  317.70  1567.954469  1636.212832
58   1963.0411  318.74  1561.990486  1553.158166
59   1963.1260  319.07  1556.022850  1527.256382
60   1963.2027  319.86  1550.628525  1466.133880
61   1963.2877  321.38  1544.647136  1352.042292
62   1963.3699  322.25  1538.859537  1288.819170
63   1963.4548  321.48  1532.878571  1344.698267
64   1963.5370  319.74  1527.084734  1475.337911
65   1963.6219  317.77  1521.097493  1630.554714
66   1963.7068  316.21  1515.107194  1758.974313
67   1963.7890  315.99  1509.304568  1777.476369
68   1963.8740  317.07  1503.301443  1687.576893
69   1963.9562  318.35  1497.493400  1584.050166
70   1964.0410  319.57  1491.498986  1488.426254
71   1964.1257  320.01  1485.509028  1454.669342
72   1964.2049  320.74  1479.905746  1399.517656
73   1964.2896  321.84  1473.910988  1318.425375
74   1964.3716  322.26  1468.105086  1288.101267
75   1964.4563  321.89  1462.105786  1314.796862
76   1964.5383  320.44  1456.295654  1422.053732
77   1964.6230  318.69  1450.292158  1557.101679
78   1964.7077  316.70  1444.286662  1718.113088
79   1964.7896  316.87  1438.477877  1704.048944
80   1964.8743  317.68  1432.468710  1637.831237
81   1964.9563  318.71  1426.649447  1555.523674
82   1965.0411  319.44  1420.629856  1498.473988
83   1965.1260  320.44  1414.601606  1422.053732
84   1965.2027  320.89  1409.154322  1388.317117
85   1965.2877  322.14  1403.116247  1296.729298
86   1965.3699  322.17  1397.275837  1294.569590
87   1965.4548  321.87  1391.242402  1316.247667
88   1965.5370  321.21  1385.399780  1364.573036
89   1965.6219  318.87  1379.364240  1542.928433
90   1965.7068  317.81  1373.327767  1627.325904
91   1965.7890  317.30  1367.482467  1668.732934
92   1965.8740  318.87  1361.437319  1542.928433
93   1965.9562  319.42  1355.590679  1500.022793
94   1966.0411  320.62  1349.551441  1408.510486
95   1966.1260  321.60  1343.511732  1335.911836
96   1966.2027  322.39  1338.055037  1278.786734
97   1966.2877  323.70  1332.007575  1186.811300
98   1966.3699  324.08  1326.159135  1160.773602
99   1966.4548  323.75  1320.118490  1183.368787
100  1966.5370  322.38  1314.269938  1279.502037
101  1966.6219  320.36  1308.229361  1428.093753
102  1966.7068  318.64  1302.188959  1561.050192
103  1966.7890  318.10  1296.340913  1604.012730
104  1966.8740  319.78  1290.294024  1472.266701
105  1966.9562  321.03  1284.446764  1377.903881
106  1967.0411  322.33  1278.407986  1283.081549
107  1967.1260  322.50  1272.369858  1270.931606
108  1967.2027  323.04  1266.915556  1232.721068
109  1967.2877  324.42  1260.871821  1137.721516
110  1967.3699  325.00  1255.028060  1098.930967
111  1967.4548  324.09  1248.993360  1160.092300
112  1967.5370  322.54  1243.151645  1268.081196
113  1967.6219  320.92  1237.119246  1386.082410
114  1967.7068  319.25  1231.088162  1513.219936
115  1967.7890  319.39  1225.250224  1502.347500
116  1967.8740  320.73  1219.214914  1400.265958
117  1967.9562  321.96  1213.379944  1309.725344
118  1968.0410  322.57  1207.362086  1265.945488
119  1968.1257  323.15  1201.353118  1225.008940
