             x       y             xy            x²        SQREG        SQTOT
0    1958.2027  315.70  618204.592390  3.834558e+06  2793.220275  1802.013343
1    1958.2877  317.45  621658.430365  3.834891e+06  2778.668194  1656.500396
2    1958.3699  317.51  621802.026949  3.835213e+06  2764.631623  1651.619981
3    1958.4548  317.24  621300.200752  3.835545e+06  2750.171310  1673.638550
4    1958.5370  315.86  618623.496820  3.835867e+06  2736.206993  1788.454902
5    1958.6219  314.93  616828.794967  3.836200e+06  2721.821308  1867.979440
6    1958.7068  313.20  613466.969760  3.836532e+06  2707.473538  2020.513981
7    1958.7890  312.43  611984.447270  3.836854e+06  2693.618185  2090.330078
8    1958.8740  313.33  613773.990420  3.837187e+06  2679.328253  2008.843848
9    1958.9562  314.67  616424.747454  3.837509e+06  2665.545197  1890.521506
10   1959.0411  315.58  618234.190338  3.837842e+06  2651.346726  1812.215774
11   1959.1260  316.48  620024.196480  3.838175e+06  2637.186171  1736.399544
12   1959.2027  316.65  620381.534955  3.838475e+06  2624.425903  1722.260600
13   1959.2877  317.72  622504.888044  3.838808e+06  2610.320947  1634.595227
14   1959.3699  318.29  623647.845471  3.839130e+06  2596.716773  1588.829781
15   1959.4548  318.15  623400.544620  3.839463e+06  2582.703060  1600.010217
16   1959.5370  316.54  620271.841980  3.839785e+06  2569.171140  1731.402728
17   1959.6219  314.80  616888.974120  3.840118e+06  2555.232054  1879.233573
18   1959.7068  313.84  615034.382112  3.840451e+06  2541.330884  1963.387418
19   1959.7890  313.33  614060.687370  3.840773e+06  2527.907928  2008.843848
20   1959.8740  314.81  616987.933940  3.841106e+06  2514.065122  1878.366670
21   1959.9562  315.58  618522.977596  3.841428e+06  2500.714463  1812.215774
22   1960.0410  316.43  620215.773630  3.841761e+06  2486.978767  1740.569056
23   1960.1257  316.98  621320.644386  3.842093e+06  2473.297029  1694.979416
24   1960.2049  317.58  622521.872142  3.842403e+06  2460.537857  1645.935263
25   1960.2896  319.03  625391.191088  3.842735e+06  2446.929144  1530.384392
26   1960.3716  320.04  627397.326864  3.843057e+06  2433.790192  1452.381834
27   1960.4563  319.59  626542.228917  3.843389e+06  2420.255752  1486.883449
28   1960.5383  318.18  623804.076294  3.843710e+06  2407.188705  1597.611109
29   1960.6230  315.90  619360.805700  3.844043e+06  2393.728537  1785.073292
30   1960.7077  314.17  615995.538109  3.844375e+06  2380.306108  1934.251634
31   1960.7896  313.83  615354.600168  3.844696e+06  2367.363283  1964.273721
32   1960.8743  315.00  617675.404500  3.845028e+06  2354.015082  1861.933522
33   1960.9563  316.19  620034.772497  3.845350e+06  2341.128337  1760.652318
34   1961.0411  316.89  621434.314179  3.845682e+06  2327.838759  1702.398139
35   1961.1260  317.70  623049.730200  3.846015e+06  2314.571404  1636.212832
36   1961.2027  318.54  624721.508058  3.846316e+06  2302.618065  1568.962218
37   1961.2877  319.48  626592.194396  3.846649e+06  2289.407361  1495.378777
38   1961.3699  320.58  628775.962542  3.846972e+06  2276.667981  1411.514496
39   1961.4548  319.77  627214.401396  3.847305e+06  2263.547467  1473.034203
40   1961.5370  318.57  624886.842090  3.847627e+06  2250.880341  1566.586510
41   1961.6219  316.79  621422.201701  3.847960e+06  2237.834454  1710.660165
42   1961.7068  314.99  617918.024932  3.848294e+06  2224.826484  1862.796624
43   1961.7890  315.31  618571.689590  3.848616e+06  2212.268322  1835.276543
44   1961.8740  316.10  620148.371400  3.848950e+06  2199.319767  1768.213241
45   1961.9562  317.01  621959.734962  3.849272e+06  2186.833901  1692.510108
46   1962.0411  317.94  623811.347334  3.849605e+06  2173.975229  1616.854371
47   1962.1260  318.55  625035.237300  3.849938e+06  2161.154473  1568.170115
48   1962.2027  319.68  627276.959136  3.850239e+06  2149.604600  1479.950726
49   1962.2877  320.57  629050.567989  3.850573e+06  2136.841022  1412.265999
50   1962.3699  321.02  629959.985298  3.850896e+06  2124.534038  1378.646384
51   1962.4548  320.62  629202.257976  3.851229e+06  2111.860125  1408.510486
52   1962.5370  319.61  627246.450570  3.851551e+06  2099.625395  1485.341444
53   1962.6219  317.40  622936.191060  3.851885e+06  2087.026108  1660.572909
54   1962.7068  316.25  620706.025500  3.852218e+06  2074.464738  1755.620702
55   1962.7890  315.42  619102.906380  3.852541e+06  2062.338972  1825.863814
56   1962.8740  316.69  621622.567060  3.852874e+06  2049.837543  1718.942190
57   1962.9562  317.70  623631.184740  3.853197e+06  2037.784074  1636.212832
58   1963.0411  318.74  625699.720214  3.853530e+06  2025.372002  1553.158166
59   1963.1260  319.07  626374.612820  3.853864e+06  2012.997846  1527.256382
